SAMPLEID,ANSWERDATE,性別,年代,居住地方,結婚,子ども,世帯年収,職業,建築タイプ,,,,,,,,,,Q7S1,Q7S7,Q7S8,Q7S9,Q7S10,Q7S11,Q8S12,Q9S4,Q9S5,Q9S15,Q10S1,Q10S2,Q10S3,Q10S4,Q10S5,Q10S6,Q10S7,Q10S8,Q10S9,Q10S10,Q10S11,Q10S12,Q10S13,Q10S14,Q10S15,Q11S4,Q11S5,Q11S6,Q11S7,Q11S11,Q11S12,Q11S13,Q11S15,Q12S1,Q7S2,Q7S3,Q7S4,Q7S5,Q7S6,Q7S12,Q7S13,Q7S14,Q7S15,Q8S1,Q8S2,Q8S3,Q8S4,Q8S5,Q8S6,Q8S7,Q8S8,Q8S9,,Q8S11,Q8S13,Q8S14,Q8S15,Q9S1,Q9S2,Q9S3,Q9S6,Q9S7,Q9S8,Q9S9,Q9S10,Q9S11,Q9S12,Q9S13,Q9S14,Q11S1,Q11S2,Q11S3,Q11S8,Q11S9,Q11S14,Q12S2,Q12S3,Q12S4,Q12S5,Q12S6,Q12S7
30357430,2024/12/11 21:50,女性,20代,関東地方,既婚,子どもなし,,会社員,オフィス,5.2,5.25,3.75,-3.375,5,5.5,4,3.5,4.5,4,4,4,4,2,3,3,2,4,2,2,4,4,5,4,2,3,2,4,3,3,2,2,3,3,5,2,2,4,3,2,3,3,2,2,2,3,4,4,2,4,4,4,4,2,2,2,2,4,4,5,2,3,2,4,3,4,3,4,1,2,3,2,4,3,4,2,3,3,4,2,3,2,3,3,3,2,4,5,2,2
32706146,2024/12/11 19:59,女性,20代,中部地方,既婚,子どもあり,400万未満,会社員,オフィス,3.4,3,2.125,-2.5,1,1.5,3,3,2.125,3,2,1,3,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2,2,2,2,1,2,2,3,4,3,4,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,3,2,1,2,2,1,1,1,1,1,1,1,3,4,1,4,3,1,4,3,2,1,1
33272112,2024/12/11 19:48,女性,20代,近畿地方,既婚,子どもあり,400〜800万未満,会社員,オフィス,2,1.25,3,-2.5,2,3,4,3,3,3,2,4,3,3,2,1,3,1,2,3,3,2,2,4,1,2,2,3,3,3,2,2,2,1,1,2,3,2,3,1,3,2,4,1,2,2,2,1,2,1,4,2,3,2,1,3,4,2,3,4,4,2,1,2,1,1,3,1,1,1,2,3,5,2,4,1,3,2,3,2,1,2,2,2,2,1,1,1,1,2
33704017,2024/12/11 21:50,女性,20代,関東地方,未婚,子どもなし,400万未満,会社員,オフィス,4,4.25,3.375,-2,3,6.5,4.5,5.5,4.875,4,3,4,2,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,4,2,4,5,3,1,2,2,2,1,4,5,2,4,1,1,2,1,1,1,1,2,1,1,1,1,1,1,4,4,2,4,2,1,1,1,1,3,3,4,1,1,1,1,1,4,4,2,1,1,1,4,1,1
33812709,2024/12/11 21:51,女性,20代,関東地方,既婚,子どもなし,800～1200万未満,会社員,オフィス,5.2,4,4,-4.125,5,5.5,4,3.5,4.5,3,2,3,2,2,2,2,4,4,2,2,2,3,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,4,3,3,3,3,4,4,4,4,5,2,3,2,3,3,2,3,2,2,2,2,1,4,2,2,2,2,1,3,4,4,2,3,3,3,3,2,2,2,2,2,2,2,3,4,2,2,2,2,4,2,2
33934481,2024/12/11 17:34,女性,20代,関東地方,既婚,子どもなし,,会社員,オフィス,3.6,4.5,3.875,-4.375,5,5.5,2,4.5,4.25,4,2,1,3,2,1,3,1,4,2,5,5,4,2,1,5,3,2,2,3,2,4,4,2,3,3,1,4,4,5,5,2,4,5,3,2,2,4,5,4,1,5,3,3,4,4,3,2,3,5,2,4,5,4,3,1,4,4,5,1,4,1,4,3,4,3,1,4,4,4,5,4,1,4,1,5,3,2,2,2,5
34128261,2024/12/11 21:39,女性,20代,中部地方,未婚,子どもなし,800～1200万未満,会社員,オフィス,5,4.25,3.875,-3.5,5,5,4,3.5,4.375,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,3,3,4,3,3,4,2,2,4
34191294,2024/12/11 21:20,女性,20代,北海道・東北地方,未婚,子どもなし,わからない,会社員,オフィス,3.4,3,2.625,-4.25,3.5,2,3.5,4,3.25,2,4,4,2,3,3,4,1,3,2,4,4,1,2,2,2,4,1,2,2,4,1,2,4,2,2,2,2,5,2,2,5,2,2,2,1,1,4,4,2,2,1,2,2,5,3,3,1,2,2,1,1,2,2,2,2,2,2,2,1,2,3,1,2,3,5,2,2,3,2,2,4,4,2,2,2,2,2,2,1,4
34556097,2024/12/11 20:48,女性,20代,関東地方,既婚,子どもなし,1200万以上,自営業・自由業,オフィス,5.6,5.75,5.125,-1.625,6,6,6,5,5.75,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,5,4,4,4,5,4,4,4,4,4,4,4,5,4,5,5,4,5,4,4,4,5,4,4,4,5,4,4,4,3,5,4,5,4,3,5,3,5,4,5,4,4
34769076,2024/12/11 21:45,女性,20代,関東地方,既婚,子どもなし,400〜800万未満,会社員,オフィス,5.6,5,4,-3.375,5,6.5,3,3.5,4.5,2,4,5,5,4,4,4,4,4,3,2,4,4,2,4,2,4,2,4,4,4,4,4,1,4,5,3,4,2,4,4,2,2,3,5,4,5,3,2,4,3,4,2,2,4,2,4,2,3,3,2,2,2,4,5,4,1,4,5,1,4,4,1,2,4,2,4,4,4,3,3,4,4,4,2,2,2,2,4,3,2
34847065,2024/12/11 16:32,女性,20代,関東地方,未婚,子どもなし,,会社員,オフィス,6.2,3.5,3.875,-2.75,5.5,5,4,5,4.875,2,2,2,2,1,2,2,3,2,2,1,1,1,1,1,1,2,1,1,3,1,1,3,2,4,1,3,2,2,2,5,2,2,3,1,1,2,2,4,2,1,2,4,1,2,1,1,1,1,1,1,5,1,2,2,4,2,2,3,1,2,1,1,2,2,2,3,1,2,2,1,1,2,3,3,2,2,2,1,4,2
36509824,2024/12/11 20:45,女性,20代,関東地方,未婚,子どもなし,400万未満,会社員,オフィス,4,5.75,3,-4.5,4.5,7,4.5,4.5,5.125,2,4,3,3,3,3,2,2,1,2,1,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,1,2,2,3,2,2,1,1,2,4,4,5,2,2,4,3,2,1,1,1,4,3,2,2,1,1,1,4,3,2,4,5,1,2,2,1,2,4,4,3,2,2,2,3,1,2,4,2,4,2,2,1,5,2
36691314,2024/12/11 18:41,女性,20代,関東地方,既婚,子どもなし,400〜800万未満,会社員,オフィス,4.4,5.75,4.25,-3.25,4.5,5,4,5,4.625,4,5,5,4,5,5,5,5,4,4,4,4,3,4,2,3,4,4,4,4,3,3,3,2,4,5,5,3,5,5,2,2,4,5,3,4,4,5,5,4,2,5,5,2,2,2,4,3,5,5,2,1,2,1,4,5,5,5,5,5,2,3,1,3,5,5,2,5,5,5,3,1,5,5,4,4,2,4,1,2,2
36923759,2024/12/11 21:29,女性,20代,関東地方,既婚,子どもなし,400〜800万未満,会社員,オフィス,4.4,2.25,3.875,-3,4.5,4.5,4,5.5,4.625,1,1,2,1,1,2,1,1,2,1,1,3,2,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,2,2,2,1,2,2,2,2,1,2,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,3,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2
39729753,2024/12/11 21:20,女性,20代,関東地方,未婚,子どもなし,わからない,会社員,オフィス,4.2,4,4,-3.875,4,6,4,3.5,4.375,3,3,3,2,3,3,3,3,3,3,3,3,2,2,3,3,3,2,3,4,3,3,3,3,3,4,4,3,3,3,4,4,4,3,3,2,2,3,3,3,3,4,4,3,4,3,2,3,5,4,3,4,3,3,3,3,3,4,4,2,3,3,3,3,4,3,3,3,5,4,4,3,3,3,3,4,4,3,2,3,4
39850001,2024/12/11 16:06,女性,20代,関東地方,未婚,子どもなし,1200万以上,会社員,オフィス,4,5.25,3.875,-4.625,3,5.5,3,4,3.875,3,4,4,3,3,3,4,3,3,3,3,3,4,3,3,5,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,5,5,3,4,1,3,3,4,3,3,3,3,3,3,3,5,5,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,4,3,3,3,3,3
40120594,2024/12/11 20:01,女性,20代,中国・四国・九州・沖縄地方,未婚,子どもなし,400万未満,会社員,オフィス,3.8,4,3,-3,4,5,4,4,4.25,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,1,3,3,1,3
40385367,2024/12/11 20:20,女性,20代,中部地方,未婚,子どもなし,400〜800万未満,会社員,オフィス,5.4,4.75,3.875,-5,2,4.5,3,4,3.375,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
40597690,2024/12/11 18:13,女性,20代,中国・四国・九州・沖縄地方,既婚,子どもあり,400〜800万未満,会社員,オフィス,2.8,4.5,2.875,-3.375,3.5,7,2,1.5,3.5,2,4,2,4,3,2,4,3,2,3,2,2,1,1,1,1,3,3,2,2,3,2,4,3,1,1,1,3,4,2,2,4,2,3,2,2,1,2,4,3,2,3,4,3,4,3,2,4,3,3,3,2,1,3,3,3,3,3,3,3,2,3,2,1,3,5,3,2,2,5,3,2,2,3,3,3,2,2,2,2,2
41128692,2024/12/11 17:25,女性,20代,関東地方,未婚,子どもなし,400〜800万未満,会社員,オフィス,4.4,5.25,5,-3.5,1,7,6.5,1,3.875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1
41294171,2024/12/11 17:00,女性,20代,中部地方,未婚,子どもなし,400〜800万未満,会社員,オフィス,4.6,7,4.25,-1.75,5,7,4,7,5.75,4,5,5,5,5,5,3,3,3,3,2,2,3,2,1,2,2,2,3,3,2,3,2,3,1,4,1,3,3,4,3,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,3,4,3,3,3,2,4,4,4,4,3,1,1,1,1,1,2,1,4,3,4,3,3,2,2,5,3,2,2,3,5,3
42474829,2024/12/11 18:48,女性,20代,近畿地方,未婚,子どもなし,800～1200万未満,公務員,オフィス,3.8,4.5,3.75,-2.375,2.5,4.5,4.5,4,3.875,4,4,4,4,4,4,4,4,4,4,5,4,4,4,3,5,3,3,3,3,4,3,4,4,3,4,4,3,4,3,3,4,4,3,3,3,3,4,5,4,4,4,4,4,3,3,2,4,4,3,2,3,3,3,3,4,3,5,5,1,3,3,2,3,2,3,4,3,3,3,3,2,4,4,3,3,3,4,2,3,2
43458379,2024/12/11 17:59,女性,20代,関東地方,未婚,子どもなし,,会社員,オフィス,1.4,2.5,1,-1.625,1,3.5,3.5,4,3,4,3,3,2,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,4,1,1,4,4,4,3,1,2,3,3,3,4,5,2,2,3,3,1,1,5,1,1,4,2,1,1,1,1,1,1,2,4,5,1,1,1,1,1,5,3,5,1,1,3,2,1,3,3,1,2,2,1,1,3,1
43702271,2024/12/11 21:09,女性,20代,近畿地方,未婚,子どもなし,400万未満,会社員,オフィス,4,5.5,4.125,-5.375,2.5,7,3,4.5,4.25,4,4,4,4,4,3,5,5,5,5,3,4,4,4,5,4,4,4,4,3,4,3,4,4,3,4,5,5,4,3,4,4,5,2,4,4,1,1,3,4,3,4,3,5,5,5,5,5,5,5,5,4,5,5,3,3,5,5,5,5,5,5,5,3,3,2,4,5,5,5,5,4,2,5,1,4,4,2,1,1,2
45004747,2024/12/11 17:06,女性,20代,中国・四国・九州・沖縄地方,未婚,子どもなし,800～1200万未満,会社員,オフィス,5.2,3.75,4.75,-5.5,6,7,4,1,4.5,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,2,5,2,5,2,5,4,4,4,4,4,4,4,4,2,4,2,4,4,2,4,5,2,4,4,4,2,4,4,4,2,4,2,4,4,2,4,2,4,2,4,4,5,5,5,5,4,5,2,5,5,5,5,5
45200442,2024/12/11 16:32,女性,20代,近畿地方,未婚,子どもなし,400〜800万未満,会社員,オフィス,3.6,4.25,3.125,-2.875,3.5,5,2.5,3,3.5,4,2,2,3,2,3,3,3,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,3,3,2,4,1,2,2,2,4,3,4,4,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,4,4,3,2,2,1,4,3,1,3,3,3,3,2,1,4,3,2,3,2,3,2,1,1
46247645,2024/12/11 18:30,女性,20代,近畿地方,既婚,子どもあり,400〜800万未満,会社員,オフィス,3.6,4.75,3.375,-4.5,3.5,5.5,3,3.5,3.875,4,4,4,3,5,4,4,4,4,3,3,2,4,3,2,2,4,3,2,3,4,3,3,2,2,4,3,4,4,4,2,4,3,4,3,3,4,4,4,4,4,4,4,3,4,4,5,4,3,3,2,2,3,1,3,4,2,5,5,3,1,2,1,2,4,4,5,4,4,3,3,1,5,4,3,3,2,3,1,2,3
46450060,2024/12/11 16:02,女性,20代,関東地方,未婚,子どもなし,,会社員,オフィス,3.4,5,3.875,-4.625,3,6,2.5,6,4.375,4,2,5,4,4,4,1,3,4,2,2,5,2,2,1,1,2,2,2,2,2,2,2,1,1,2,2,1,2,3,3,3,3,3,5,3,3,3,2,2,4,5,3,4,3,3,2,3,2,1,2,1,2,2,2,2,2,4,5,1,2,4,1,2,2,2,1,1,1,2,2,1,2,2,2,1,1,2,2,1,2
46880873,2024/12/11 21:40,女性,20代,中国・四国・九州・沖縄地方,未婚,子どもなし,400〜800万未満,会社員,オフィス,2.8,5,2.375,-1.75,3,4.5,2.5,2.5,3.125,5,4,2,3,3,3,4,1,1,3,4,4,3,4,4,2,2,2,3,2,4,2,3,3,2,1,2,5,3,4,3,2,2,5,3,1,3,2,2,2,2,2,2,4,4,4,2,2,1,4,3,2,2,4,2,4,2,4,2,2,5,4,3,2,1,4,4,3,4,3,4,2,2,1,5,3,5,2,5,4,4
47024104,2024/12/11 18:38,女性,20代,近畿地方,未婚,子どもなし,,公務員,オフィス,2.6,3.25,2.625,-3.875,4.5,5,2,1,3.125,2,2,3,2,2,4,3,4,2,4,2,3,3,3,3,4,4,4,4,4,4,3,1,4,4,3,2,4,4,4,4,2,4,2,2,2,1,2,2,4,4,4,4,4,4,4,4,4,5,4,2,3,3,3,5,4,3,2,3,4,2,4,2,4,4,4,3,4,4,2,2,3,4,4,4,2,1,2,3,5,4
47230283,2024/12/11 19:56,女性,20代,関東地方,未婚,子どもなし,800～1200万未満,会社員,オフィス,4.6,6.25,4.875,-4.875,3.5,4.5,6.5,5.5,5,3,4,3,3,3,2,3,4,3,4,3,4,3,1,1,1,1,1,1,4,2,3,2,2,2,3,4,2,2,4,2,2,4,4,5,4,3,2,3,2,3,2,3,3,3,3,3,3,3,2,3,3,4,3,4,4,1,5,4,1,1,1,1,2,1,4,1,3,3,1,2,3,4,4,2,2,1,2,2,2,1
48749202,2024/12/11 20:09,女性,20代,中国・四国・九州・沖縄地方,未婚,子どもなし,,会社員,オフィス,6.2,5.25,3.625,-3,5,6.5,3.5,6,5.25,5,5,4,4,5,4,4,4,4,4,4,3,3,1,1,1,3,2,2,3,4,4,4,4,4,4,4,3,4,4,3,4,4,3,1,1,2,5,4,4,5,4,5,4,1,4,1,1,4,2,3,3,4,1,4,5,1,5,5,1,4,2,1,4,5,5,4,2,4,4,3,2,3,4,3,3,3,4,1,4,4
48770695,2024/12/11 20:00,女性,20代,中国・四国・九州・沖縄地方,未婚,子どもなし,,会社員,オフィス,3.6,4.75,3.875,-3.875,5,5.5,4.5,4.5,4.875,2,2,2,3,2,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,5,1,4,3,1,1,4,4,5,3,3,2,2,1,1,1,1,1,3,1,1,1,1,1,1,3,1,4,3,3,1,1,1,2,2,2,2,3,2,2,1,1,1,1,4,1,1,1,1,1,1
49522139,2024/12/11 19:47,女性,20代,関東地方,未婚,子どもなし,,会社員,オフィス,3,4,3.25,-2.5,3,5,4,3,3.75,4,4,4,4,4,4,4,4,4,4,3,3,3,1,1,1,1,1,1,4,1,1,1,1,1,4,4,1,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,4,1,1,1,1,1,4,4,1,4,4,1,1,1,1,1,1,1,1,4,4,4,4,2,4,4,1,4,1,1,1,4,1
49657749,2024/12/11 19:34,女性,20代,関東地方,未婚,子どもなし,,会社員,オフィス,6,6,5.125,-3.75,5,5.5,5,3.5,4.75,3,3,2,2,2,3,2,2,4,4,3,4,4,3,3,4,3,3,3,3,2,3,3,3,3,3,2,4,4,3,4,3,4,3,2,4,2,3,3,3,3,3,3,4,4,2,2,2,3,3,3,3,2,2,3,2,2,5,5,3,4,3,3,3,3,4,3,2,4,3,5,5,3,2,4,4,4,3,3,4,4
50500065,2024/12/11 17:40,女性,20代,中部地方,既婚,子どもあり,,会社員,オフィス,5.2,3,3.375,-2.25,2,6,5.5,6,4.875,4,5,4,4,4,4,4,4,4,4,4,2,4,1,1,1,4,4,4,4,4,4,4,2,4,4,4,4,4,5,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,2,4,4,3,4,4,1,5,5,1,2,2,2,1,2,2,2,4,4,4,4,1,4,4,4,4,3,4,1,4,3
50632709,2024/12/11 19:46,女性,20代,関東地方,既婚,子どもあり,800～1200万未満,会社員,オフィス,2.8,3.5,3.25,-3.625,5,5.5,3.5,2,4,3,3,3,3,3,3,2,4,3,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,4,4,3,2,3,2,2,2,2,3,3,3,3,3,4,3,2,2,2,2,2,2,2,2,2,2,2,4,4,3,3,2,4,2,3,4,4,2,4,2,2,2,2,4,2,2,2,3,2,2,3,2
50678857,2024/12/11 21:28,女性,20代,中部地方,未婚,子どもなし,400〜800万未満,会社員,オフィス,4.4,4,3.5,-2.5,4,5,5.5,5,4.875,4,2,3,3,3,2,3,4,4,2,2,1,2,2,2,2,2,2,2,4,3,3,4,3,4,3,4,4,3,5,3,3,3,5,4,4,5,5,5,3,3,3,4,1,1,1,1,3,3,2,2,1,2,2,3,4,4,3,4,5,2,2,1,3,4,4,4,4,3,3,2,2,5,5,5,4,2,2,1,2,2
1698986,2024/12/11 18:15,女性,30代,関東地方,未婚,子どもなし,400〜800万未満,会社員,オフィス,4.8,4.75,3.375,-2.875,3.5,6.5,4,5,4.75,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,3,4,1,2,1,2,4,1,2,1,2,4,2,3,1,1,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1
3925519,2024/12/11 18:42,女性,30代,近畿地方,未婚,子どもなし,,会社員,オフィス,3.4,4.25,3.5,-3.875,3.5,5.5,4,4,4.25,4,3,3,4,3,4,4,3,4,3,4,4,2,2,3,2,4,3,3,4,4,3,3,3,4,3,3,3,3,3,3,4,4,3,1,2,1,3,4,4,4,4,4,3,4,3,3,3,4,4,2,2,3,3,3,3,3,3,2,1,4,4,1,3,2,2,2,4,3,2,3,2,4,4,3,4,3,3,2,3,3
6849850,2024/12/11 19:38,女性,30代,中国・四国・九州・沖縄地方,既婚,子どもなし,400〜800万未満,会社員,オフィス,3.4,4.5,4,-4.125,3.5,6,3.5,4.5,4.375,4,4,4,4,3,4,4,3,3,3,3,2,2,2,1,2,2,3,3,3,4,3,2,3,2,2,3,2,4,4,5,3,4,2,4,4,4,5,4,4,3,4,4,3,4,1,2,3,3,1,2,1,2,3,4,4,3,2,3,2,2,2,1,2,4,3,5,1,2,3,4,2,3,4,4,2,2,2,1,1,2
7777515,2024/12/11 17:05,女性,30代,関東地方,未婚,子どもなし,,会社員,オフィス,2.2,4.5,1.875,-3.125,3.5,4.5,3,4.5,3.875,3,3,3,3,3,3,3,4,4,3,3,2,3,3,3,2,4,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3,4,3,2,2,2,4,4,3,4,3,4,4,2,5,1,4,4,4,1,3,3,3,4,3,3,4,4,3,2,2,2,3,3,3,4,3,4,4,3,2,4,4,4,3,2,4,2,4,3
7855374,2024/12/11 20:23,女性,30代,中国・四国・九州・沖縄地方,未婚,子どもなし,400〜800万未満,会社員,オフィス,1,5.5,2.75,-1.875,2,6.5,4,2.5,3.75,4,3,2,1,1,2,3,3,3,1,3,3,3,3,3,1,1,2,2,1,1,1,1,1,1,3,3,3,3,1,3,4,5,3,1,1,2,4,5,1,4,3,3,3,3,3,3,3,3,2,3,3,3,2,3,4,4,1,4,1,3,3,1,1,1,4,1,5,1,4,4,2,2,1,4,3,3,1,1,1,1
8055232,2024/12/11 16:42,女性,30代,関東地方,未婚,子どもなし,わからない,会社員,オフィス,2,6.5,2.5,-4.625,1.5,6.5,4.5,3.5,4,5,4,4,3,4,5,5,4,4,5,3,5,5,5,4,4,5,4,4,4,5,4,5,4,4,5,4,5,5,5,4,4,4,4,4,4,3,4,4,5,4,4,4,4,5,5,4,5,4,5,4,5,5,4,4,4,4,5,5,2,5,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,3,5,5
8076336,2024/12/11 16:31,女性,30代,中部地方,既婚,子どもなし,400〜800万未満,会社員,オフィス,1.6,6.25,1.75,-5,2.5,6.5,1.5,4.5,3.75,1,2,1,1,1,1,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,5,1,1,2,1,1,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,4,1,1,1,1,1,1,1
8699730,2024/12/11 20:20,女性,30代,近畿地方,未婚,子どもなし,400万未満,会社員,オフィス,3.2,4.25,3.625,-3.75,2.5,5,3.5,4,3.75,4,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,2,3,3,3,3,3,3,3,3,3,2,4,3,3,3,3,2,3,3,3,4,3,3,4,3,2,3,3,4,2,3,3,3,2,3
9201149,2024/12/11 18:28,女性,30代,関東地方,未婚,子どもなし,400〜800万未満,会社員,オフィス,3.4,4.25,3,-3,4,4,4,4,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,3,3,3,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,1,1,5,3,3,2,2,2,2,1,1
9213993,2024/12/11 18:04,女性,30代,北海道・東北地方,未婚,子どもなし,,会社員,オフィス,3.8,4.5,3.5,-3.5,4,3,3.5,4.5,3.75,3,3,3,1,4,3,5,3,3,4,3,2,2,5,5,4,3,2,5,4,4,4,2,3,4,1,3,4,5,4,3,4,3,3,2,3,2,2,4,3,2,3,3,3,2,2,5,3,3,3,4,3,3,2,3,4,3,3,2,1,4,4,3,5,3,3,4,3,3,3,3,2,4,3,4,3,2,1,5,3,3
15832137,2024/12/11 19:50,女性,30代,中国・四国・九州・沖縄地方,未婚,子どもなし,400万未満,会社員,オフィス,2.6,5,2.875,-1.875,4,5.5,4,2,3.875,4,4,3,4,2,3,4,4,4,4,4,2,1,1,1,1,4,4,2,4,3,1,2,4,2,3,4,3,2,1,3,2,4,4,2,2,2,2,4,3,4,4,4,4,5,2,4,4,2,1,3,2,3,2,3,4,4,4,2,1,5,4,2,2,4,4,2,4,4,4,3,1,1,4,5,2,3,4,1,1,1
19188940,2024/12/11 18:26,女性,30代,関東地方,未婚,子どもなし,わからない,会社員,オフィス,4.6,5,4,-3.25,4,5.5,4,5.5,4.75,5,5,4,3,4,4,4,4,3,4,2,1,3,1,1,1,4,2,3,4,4,3,3,2,5,3,4,4,4,4,3,4,4,4,4,4,2,5,5,3,5,5,5,5,3,5,1,2,5,4,2,2,3,2,4,3,2,5,5,1,4,4,2,1,3,4,3,2,5,4,4,1,5,5,5,3,3,4,1,4,2
20225139,2024/12/11 18:44,女性,30代,関東地方,既婚,子どもあり,800～1200万未満,会社員,オフィス,3.4,3.25,2.625,-2,1,7,2.5,1,2.875,3,4,3,2,4,4,3,4,4,1,2,4,2,2,1,1,2,1,1,3,2,2,1,2,2,3,3,2,1,3,2,1,3,2,2,4,4,5,5,4,4,4,4,4,2,4,1,1,4,4,1,1,1,1,4,4,1,4,4,1,1,1,1,1,1,4,1,1,2,2,2,1,2,2,2,2,4,2,3,1,1
20572472,2024/12/11 16:28,女性,30代,北海道・東北地方,既婚,子どもあり,400〜800万未満,会社員,オフィス,4,5.5,4.125,-3,3,4.5,3,4,3.625,3,3,3,4,3,2,1,1,1,2,2,2,1,2,1,3,3,3,1,1,2,3,3,2,3,2,1,3,3,2,1,3,2,2,2,2,4,3,3,1,3,1,2,3,2,2,2,1,2,3,2,2,3,2,2,2,2,4,4,3,2,2,2,2,2,2,1,1,3,2,2,2,1,4,3,2,2,1,1,4,3
21611033,2024/12/11 16:05,女性,30代,関東地方,未婚,子どもなし,わからない,会社員,オフィス,5,4.5,4.375,-2.75,3.5,5.5,4.5,4,4.375,4,4,4,3,3,4,4,4,4,4,4,3,2,2,1,2,4,4,3,4,4,3,2,4,2,4,4,2,4,4,2,3,4,4,2,4,3,3,4,4,4,4,4,4,4,4,2,3,4,3,3,2,2,2,2,4,3,4,4,2,2,2,1,3,4,4,4,4,4,4,3,2,4,4,3,3,3,2,2,2,3
28279625,2024/12/11 18:38,女性,30代,関東地方,既婚,子どもなし,,会社員,オフィス,3.6,5,2.5,-2.75,5,5,1,2.5,3.375,3,4,5,3,4,5,4,5,3,3,3,3,4,1,1,4,1,1,1,1,3,1,1,4,3,3,2,1,1,1,1,1,1,3,4,4,4,5,5,2,4,4,4,2,4,2,1,1,5,2,2,4,3,1,2,5,1,5,5,3,3,1,1,1,1,1,3,1,1,1,1,1,1,4,1,1,1,1,1,1,1
